#image_name, actual, predicted, score
cow_OIP-YwhTXfa9RcIO2G-e0OWT3QHaFc.jpg, cow, cat, fail
squirrel_OIP-Nd0PE1oo_apToADZMRu35AHaFj.jpg, squirrel, squirrel, pass 
butterfly_OIP-f4NIVUVGtOHfcZpgjvQbQAHaKu.jpg, butterfly, butterfly, pass
butterfly_OIP-nWBRAssnquFV5uMvAWyEKQHaFj.jpg, butterfly, butterfly, pass
squirrel_OIP-PpZjwBiI0LbmLrWRxKh9IgHaDt.jpg, squirrel, cat, fail
butterfly_OIP-PcW610RjltwKt-c0QqRYqgHaFj.jpg, butterfly, butterfly, pass
squirrel_OIP-y4IxvJSvX7MqsAlnk49ITgHaE8.jpg, squirrel, cat, fail
squirrel_OIP-jbT5APGv1c-KQ6zPgR8zQQHaIQ.jpg, squirrel, cat, fail
cat_631.jpg, cat, cat, pass
cow_OIP-cw4CXbyoy9GaInwU7cs6ewHaE0.jpg, cow, cow, pass
chicken_OIP-baEUeCGLa1AOlZjTCWl2zgHaHV.jpg, chicken, chicken, pass
spider_OIP-NDJS-cBWgvkqjt7k2QrtsAHaE8.jpg, spider, cat, fail
butterfly_ea35b80a2ef1043ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg, butterfly, butterfly, pass
chicken_OIP-x9DC-u9s3LrRvHK2d3qvQwHaI2.jpg, chicken, chicken, pass
dog_OIP-5hI4KOsaeyvSjy7_LiTJCgHaFm.jpg, dog, dog, pass
horse_OIP-nJOUUe0TgOdMGNEWrTte2QHaFj.jpg, horse, horse, pass
spider_OIP-6VlSuNhSjFQhOIWUmRCynwHaIT.jpg, spider, cat, fail
horse_OIP-5w4861bwgkhhIXFkHjavngAAAA.jpg, horse, horse, pass
sheep_OIP-xO5tbIR39UxX76952C_CJwAAAA.jpg, sheep, sheep, pass
butterfly_OIP-40Yyc3mifuHJDcDgfsEhGAHaF2.jpg, butterfly, butterfly, pass
horse_OIP-TjdFpcKrHgjXocTYDVOhWQHaE7.jpg, horse, horse, pass
cat_47.jpg, cat, cat, pass
chicken_689.jpg, chicken, chicken, pass
cow_OIP-qkdjcFHMl4v5NJMUHPisGAHaFd.jpg, cow, cow, pass
chicken_OIP-dDLjPFqnq6cpeejLPqEj-QHaGx.jpg, chicken, chicken, pass
butterfly_OIP-8jUH-Vusgcu2OtYXmH3NtQHaEK.jpg, butterfly, butterfly, pass
elephant_eb35b20a2cfc003ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efb4bb_640.jpg, elephant, elephant, pass
chicken_OIP-eF-ESBML9f-w4RfQ158YgQAAAA.jpg, chicken, chicken, pass
chicken_OIP-rv3Ezu3l8X_cyIa7VjwhiwHaE8.jpg, chicken, chicken, pass
cat_220.jpg, cat, cat, pass
sheep_OIP-3Lldmuln2eWljKMCyh3cZQHaGm.jpg, sheep, sheep, pass
elephant_OIP-Y9Lc3aBXRdO_I3lyNwIecQAAAA.jpg, elephant, elephant, pass
cow_OIP-b7-TQvKmz-I8ygBJGL2spwHaFj.jpg, cow, cat, fail
cat_ea35b70721f4023ed1584d05fb1d4e9fe777ead218ac104497f5c978a7ebb0bb_640.jpg, cat, cat, pass
butterfly_OIP-IBqr8QOOid0xr88Dsg9-ywHaFj.jpg, butterfly, butterfly, pass
elephant_OIP-fQmNdnZOCXT91rFqlgXgpwHaE8.jpg, elephant, elephant, pass
chicken_OIP-xRUJ5vM6GX9-kI3DoW48pQHaEw.jpg, chicken, chicken, pass
cow_OIP-cECWRGkxJY4kOd-l1AykdAHaFI.jpg, cow, cat, fail
butterfly_OIP-QeS6A53er7mIZonWQJCDFgHaGr.jpg, butterfly, butterfly, pass
chicken_OIP-ppHc8CzLOQx9tnbeC4p6bgHaIM.jpg, chicken, chicken, pass
sheep_OIP-v3L1NjKKKYQJuyU-ZzHamAAAAA.jpg, sheep, sheep, pass
dog_OIP-X0XGe1dNXlj9GXBCjkYa6wHaE8.jpg, dog, dog, pass
sheep_OIP-e2FBY2hVL40yL3ID7WKeVAHaFj.jpg, sheep, sheep, pass
butterfly_ea36b30f2cf0083ed1584d05fb1d4e9fe777ead218ac104497f5c97faee8b1b8_640.jpg, butterfly, butterfly, pass
spider_OIP-z4u7KUGvVDP9KYGm5CyM9AHaE7.jpg, spider, spider, pass
cow_OIP-64HJJfS0eKVkfUp5KDl9uAHaFI.jpg, cow, cat, fail
spider_OIP-oPX1NlvcHK2ouZRagJb8VwHaE7.jpg, spider, cat, fail
horse_OIP-gDltiSP_dGW6G3UK6dQRfwHaEI.jpg, horse, horse, pass
butterfly_OIP-aS3fXhqr0BnG5UCVeHS9OgHaF6.jpg, butterfly, butterfly, pass
butterfly_e030b20a20e90021d85a5854ee454296eb70e3c818b413449df6c87ca3ed_640.jpg, butterfly, butterfly, pass
elephant_eb3cb30c21f6043ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efbcb0_640.jpg, elephant, elephant, pass
squirrel_OIP-C7E50wQTzsiKr9Wt3eVpRgHaHa.jpg, squirrel, cat, fail
butterfly_OIP-bNajk0ekXfTb9PIf0ii3HQHaFT.jpg, butterfly, butterfly, pass
horse_OIP-iDhx-44xd1gtyN-jMCAgvQHaGQ.jpg, horse, horse, pass
cat_148.jpg, cat, cat, pass
squirrel_OIP-HgaQQPPaii7P7cWretrr-wHaHa.jpg, squirrel, cat, fail
horse_OIP-3XKB0dWhFpLIsq5g12CAKQHaFj.jpg, horse, horse, pass
squirrel_OIP-enHhso2T4IAd8ySBSpn6IAHaFj.jpg, squirrel, cat, fail
butterfly_OIP-SMbjYAjAhrCNqZSvAh9qewHaEr.jpg, butterfly, butterfly, pass
squirrel_OIP-7ultMiwop9VMjL_wpIAvyAHaGd.jpg, squirrel, cat, fail
chicken_OIP-9YVMjxXYNj9BTx49SbY6NwHaFe.jpg, chicken, chicken, pass
spider_OIP-5AdIZWDnZU3IOhQ21bHKGwHaFA.jpg, spider, cat, fail
cow_OIP-XxnH8yNUzDlat7kfdxCcJwAAAA.jpg, cow, cat, fail
horse_OIP-X0SHV7GxWQ906yaI6rB_QQHaFj.jpg, horse, horse, pass
cow_OIP-4cZcHa9UwZBikCKJemsDnQHaGH.jpg, cow, cow, pass
elephant_ea36b00b2ff6043ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efb4bb_640.jpg, elephant, elephant, pass
sheep_OIP-M2CEJMC2BQvgH4ahk4r82AAAAA.jpg, sheep, sheep, pass
dog_OIP-4CcJd0QHqhmhh_lbXvn_VAHaE_.jpg, dog, dog, pass
dog_OIP-11I4h3JoOPyySDRiXsejsAHaFj.jpg, dog, dog, pass
dog_OIP-bqi9yp1JEHREY-Vn9ac23AHaNK.jpg, dog, dog, pass
spider_OIP-CP9VIEF5lYfJ1KWdo99WzwHaFY.jpg, spider, spider, pass
cat_ea36b60f2cfd093ed1584d05fb1d4e9fe777ead218ac104497f5c978a7eebdbb_640.jpg, cat, cat, pass
squirrel_OIP-8TrJl4vXLZtMzy-pCo6M-gHaFj.jpg, squirrel, cat, fail
sheep_OIP-1HdVVrgQHvdnTT7qTp5ALAHaGY.jpg, sheep, sheep, pass
cat_ea37b90c20f0033ed1584d05fb1d4e9fe777ead218ac104497f5c978a7eebdbb_640.jpg, cat, cat, pass
horse_OIP-UOX2POFCIE-Qs_bYuBEYLQHaFk.jpg, horse, horse, pass
elephant_OIP-zaY33YSyzBcvJq_2Fb504QHaE-.jpg, elephant, elephant, pass
horse_OIP-q-qW6I9W73jzun7evUVhIgHaE8.jpg, horse, horse, pass
cow_OIP-BoPr3fx0wl_d_PcKSvTiFgHaK1.jpg, cow, cow, pass
dog_OIP-ocMEfzca_k_4hzxUaHc7VAHaE7.jpg, dog, dog, pass
cow_OIP-mNPSDsgK95jRbB-_5ItrFwHaFl.jpg, cow, cat, fail
spider_OIP-O8pS0Olk1otgzutk3t9AMAHaF0.jpg, spider, cat, fail
squirrel_OIP-qnT14Do5nVYI0jFDrmzTPAHaGb.jpg, squirrel, cat, fail
squirrel_OIP-HWL2AA6yBUlEX5yc4N_o0wHaEK.jpg, squirrel, cat, fail
cat_559.jpg, cat, cat, pass
chicken_OIP-Dz4RELcVx-Ri4qg6eVtbfAHaFj.jpg, chicken, chicken, pass
dog_OIP-sH7u4NwO_gj427Z0cw3C5gHaEX.jpg, dog, dog, pass
elephant_OIP-mtxe6AfM2mPpZ0D7HZ1BxgHaDn.jpg, elephant, elephant, pass
dog_OIP-IjgRoO19Mqu1A3S_7UyCxAEsEs.jpg, dog, dog, pass 
elephant_OIP-8g01nVRma5tdkK5Up0kX3AHaE8.jpg, elephant, elephant, pass
cat_e831b40a2cf2023ed1584d05fb1d4e9fe777ead218ac104497f5c978a7eebdbb_640.jpg, cat, cat, pass
elephant_OIP-E2BvWy-Z4FR5oxvfXBEZ7AHaFB.jpg, elephant, elephant, pass
squirrel_OIP-JOAjh31wIuqau8e-nB2whAHaE6.jpg, squirrel, cat, fail
cow_OIP-Mv5DhnFg1u90d0rTu_BErAHaFj.jpg, cow, cow, pass
horse_OIP-9sFa3csY9lIyZNbRv1DIXgAAAA.jpg, horse, horse, pass
elephant_OIP-7nQM7yTnjxF--RBHymKZ3gHaLJ.jpg, elephant, elephant, pass
chicken_OIP-TNyNFQJ8ZmjkFzF4SvfCXAHaHa.jpg, chicken, chicken, pass
cat_1311.jpg, cat, cat, pass
sheep_OIP-pwRcIGOR1bzrvIJ3mUdnZwHaFj.jpg, sheep, sheep, pass
dog_OIP-L3TRIOoPlmb3isOmx9DYDwHaEK.jpg, dog, dog, pass
elephant_OIP-5UO8XwAHbwamRADkXk4bIQHaJ-.jpg, elephant, elephant, pass
cow_OIP-HvpxLQWXd-M2w2iZgJ91GAHaLI.jpg, cow, cow, pass
dog_OIP-J5fKCUBenmEuc4JvQH1ZogHaE6.jpg, dog, cat, fail
chicken_236.jpg, chicken, chicken, pass
cow_OIP-O8MEDDkATMHnD845LexNlAHaFJ.jpg, cow, cat, fail
horse_OIP-IUiK9N8M7_kqVf1wa7tFtQHaFS.jpg, horse, horse, pass
chicken_OIP-o6-uEWaNg5X6y_zYuX-uCAHaEK.jpg, chicken, chicken, pass
sheep_OIP-KSBjxbYVQU8GZgPf1gpyhwHaFj.jpg, sheep, sheep, pass
horse_OIP-Y-hB14A3coI7TEgrEew0UAHaFj.jpg, horse, horse, pass
sheep_OIP-_bkUry7ry0OaDroj6nrA5wHaHa.jpg, sheep, sheep, pass
cow_OIP-1NxvGWjwzbEej8_ANg-xpAHaGB.jpg, cow, cat, fail
horse_OIP-x7-kaoaetJ7yKIMIysmIlAHaFj.jpg, horse, horse, pass
spider_OIP-D_GqR_AtHhgYnLRhSri8iQHaFo.jpg, spider, cat, fail
horse_OIP-r8zIrnO6Hh88mQTsyzd4oQHaFx.jpg, horse, horse, pass
elephant_OIP-rdI7fBNlbP41ERjbwUYJPAHaIa.jpg, elephant, elephant, pass
squirrel_OIP-vC1DWNUBUYvsVGbtHF-nuAHaE8.jpg, squirrel, cat, fail
cow_OIP-iLKFEtiGhx7_buwMFIJ5kwHaEK.jpg, cow, cow, pas pass 
cat_10.jpg, cat, cat, pass
dog_OIP-ijXiQKYccGTQrRQddAh-rQHaEm.jpg, dog, dog, pass
spider_eb37b20620f61c22d2524518b7444f92e37fe5d404b0144390f8c47ba6ebb4_640.jpg, spider, cat, fail
sheep_OIP-h6OB-na59vwaveYWL3slcwHaE5.jpg, sheep, sheep, pass
cat_1829.jpg, cat, cat, pass
sheep_OIP-EQoDxNznPiL0-9XD0inanQHaE8.jpg, sheep, sheep, pass
sheep_eb30b0092cf5033ed1584d05fb1d4e9fe777ead218ac104497f5c978a6ebb3bf_640.jpg, sheep, sheep, pass
butterfly_OIP-Hm9KJqAsxPyTftXtcoiVOQHaFj.jpg, butterfly, butterfly, pass
squirrel_OIP-rk0CKszKEj3pBHSUfxW70wHaHa.jpg, squirrel, cat, fail
dog_OIP-y9hTivzT1cwzWlpeslmk9wAAAA.jpg, dog, cat, fail
elephant_OIP-grsAWZ5Acz-6j4hnMnWuhgHaLH.jpg, elephant, elephant, pass
butterfly_OIP-mY9k6tLbM2yac2u7nioAFgHaEn.jpg, butterfly, butterfly, pass
dog_OIP-P3zTu-bZLnRAvvups-MEFQHaE6.jpg, dog, dog, pass
butterfly_OIP-Hn-R2LCT9BW7pB61RN4szAHaE9.jpg, butterfly, butterfly, pass
chicken_OIP-At6Ih1wqX5FNVfRgEd8WpwHaHa.jpg, chicken, chicken, pass
elephant_OIP-zjO3Dp6jg-zilWTaQ184UgAAAA.jpg, elephant, elephant, pass 
squirrel_OIP-9_Zin1jdC1zuavm7lg97dAHaEZ.jpg, squirrel, cat, fail
sheep_ea37b10720f3093ed1584d05fb1d4e9fe777ead218ac104497f5c978a6ebb3bf_640.jpg, sheep, sheep, pass
spider_OIP--HXOXZ18PdzE1WprWDwq4gEsD6.jpg, spider, spider, pass
sheep_e13cb60a2bfc1c22d2524518b7444f92e37fe5d404b0144390f8c078a1ebb2_640.jpg, sheep, sheep, pass
horse_OIP-ZqcIu3iL9DhdfbRxre-dBQHaGU.jpg, horse, horse, pass
horse_OIP-V3ceQniGyeFjHs0N6Y11mgHaFI.jpg, horse, horse, pass
cat_1096.jpg, cat, cat, pass
cat_1700.jpg, cat, cat, pass
spider_OIP-2_-qAB-yXutoj836WXQ8BQHaFj.jpg, spider, cat, fail
dog_OIP-52zmgcvU4h-0bB-VN7r-vAHaJ4.jpg, dog, dog, pass
sheep_eb32b30d2ef0093ed1584d05fb1d4e9fe777ead218ac104497f5c978a6ebb3bf_640.jpg, sheep, sheep, pass
dog_OIP-bTKnRAJfpOhQhD4AC4ZjZAAAAA.jpg, dog, dog, pass
horse_OIP-B8fusOH0IWe9f9IjfH7alAHaGQ.jpg, horse, horse, pass
elephant_eb37b40b2ef6063ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efbcb0_640.jpg, elephant, elephant, pass
cat_1653.jpg, cat, cat, pass
chicken_OIP-c5eYLuTiQHEVoYrBnFM-MwHaFl.jpg, chicken, chicken, pass
cat_1192.jpg, cat, cat, pass
spider_OIP-TRjxSbM7QpJZR9afQaHX5AHaE8.jpg, spider, cat, fail
chicken_OIP-raSHAiMYHu7c-I3qCJ2rngHaKG.jpg, chicken, chicken, pass
cow_OIP-f49uKzW4CNH-70rNADCnxwHaE7.jpg, cow, cat, fail
horse_OIP-2kLDzggLujT2MJMt2Vzj-QHaF3.jpg, horse, horse, pass
squirrel_OIP-j6qg0SM-1U50rWbPR61c4wHaFI.jpg, squirrel, cat, fail
butterfly_ea37b10e20f2053ed1584d05fb1d4e9fe777ead218ac104497f5c97faee8b1b8_640.jpg, butterfly, butterfly, pass
spider_OIP-iRbC8PARBs7bC8kIm0y4ZgAAAA.jpg, spider, cat, fail
spider_OIP-7kN3Ns5pFU_pb0OoutFnCgHaFe.jpg, spider, cat, fail
dog_OIP-tfEfWdrWNEz1VNnXsYUMbAHaLH.jpg, dog, dog, pass
spider_e834b70e2efc063ed1584d05fb1d4e9fe777ead218ac104497f5c97ca5ecb3b9_640.jpg, spider, cat, fail
dog_OIP-BuKnw3JTZtnIGg9Ko9vNFgHaEx.jpg, dog, cat, fail
cow_OIP-cnNC3AO2xWBAu3R9kPBYQwEsDd.jpg, cow, cat, fail
dog_OIP-yz6ocLK9Ok8jCFEu3ebnJQHaFk.jpg, dog, dog, pass
horse_OIP-oNCm5v4YI3pcIyGjJurmFAHaEz.jpg, horse, horse, pass 
butterfly_OIP-uVK6VATYER8gaghGG5mE0QHaFj.jpg, butterfly, butterfly, pass
sheep_OIP-cfXEswixtjID44jq7gTJjQAAAA.jpg, sheep, sheep, pass
spider_OIP-_GIIBIozbpKZjMqf6rg5QAHaDJ.jpg, spider, cat, fail
dog_OIP-4oo4c85nRUS7UdfZeSnYugHaLG.jpg, dog, dog, pass
elephant_e834b20f28fd003ed1584d05fb1d4e9fe777ead218ac104497f5c978a4eebdbd_640.jpg, elephant, elephant, pass
horse_OIP-S6fWXjxJVDMbFMkBMnN8QAHaKQ.jpg, horse, horse, pass
sheep_OIP-64rrTRYYHr60jDm6hUeFqwHaFA.jpg, sheep, sheep, pass
butterfly_OIP-9GpXVR5Itm037G5nuzRA0AHaFf.jpg, butterfly, butterfly, pass
squirrel_OIP-zSvrkLxfcHGXLXGA0HuAhQHaFY.jpg, squirrel, cat, fail
elephant_OIP-xqs1Rb6Eki7e_zVEqKVcbgHaHB.jpg, elephant, elephant, pass
horse_OIP-YShlSxaBKdKFMxkPfDb1BAHaFc.jpg, horse, horse, pass 
elephant_OIP-EcpVXXDQkX9ehwBpDboY-AHaE8.jpg, elephant, elephant, pass
sheep_eb37b2082bf5033ed1584d05fb1d4e9fe777ead218ac104497f5c978a6eab2b0_640.jpg, sheep, sheep, pass
butterfly_OIP-6ntOS_3DQHb9ZFaq7yJCNwHaFj.jpg, butterfly, butterfly, pass
squirrel_OIP-D8cpPB1IRUJOD9eI3VnkyQHaLJ.jpg, squirrel, cat, fail
cat_774.jpg, cat, cat, pass
cat_1307.jpg, cat, cat, pass
squirrel_OIP-okTv-lxcJ5cZok80J_6eUwHaHZ.jpg, squirrel, squirrel, pass
squirrel_OIP-79rLNXjENKDQotnKJoZUugHaGL.jpg, squirrel, cat, fail
squirrel_OIP-NlzEiclV-T6nv1J6_VvSmgHaE7.jpg, squirrel, squirrel, pass
elephant_OIP-dCK_KHgagdnWxw1Im5xC8gHaE8.jpg, elephant, elephant, pass
dog_OIP-ZEX8ss7tIEAjm9tYeTbYlQHaFo.jpg, dog, cat, fail
dog_OIP-4pDoIw8CIERmrEe7wDNOOQHaIp.jpg, dog, dog, pass 
spider_OIP-c3PMIkXXa1Cz02kRUhfjZAHaJ3.jpg, spider, spider, pass
elephant_OIP-ptJBods7wrQfo_oBNZqNWgHaE7.jpg, elephant, elephant, pass
spider_OIP-7piNdI1ATkuGoHtPfsmaRgHaE8.jpg, spider, cat, fail
butterfly_OIP-QZhs1y7Xk-9VG8g9vIw_HwHaKq.jpg, butterfly, butterfly, pass
cow_OIP-zTRwCiP1MA2gtrOUjhYBTgHaE8.jpg, cow, cat, fail
spider_OIP-YlGtxVdvx0LHygC9TqmOnQHaEU.jpg, spider, cat, fail
spider_OIP-N_j1s3uSXURo5MoaqiFR4gHaFS.jpg, spider, cat, fail
dog_OIP-H8TLN_kT4s19RFXqoJy92AHaEo.jpg, dog, dog, pass
dog_OIP-EHAxcD8ywgCMF5xhF6LvUwHaEo.jpg, dog, cat, fail
sheep_OIP-_3bv1qt1iLMDK_zNqRHn7AHaE8.jpg, sheep, sheep, pass
cat_627.jpg, cat, cat, pass
cat_51.jpg, cat, cat, pass
chicken_OIP-3KG5T5FdUlAbTk5GgzCR_wHaE7.jpg, chicken, chicken, pass
horse_OIP-Ld-gnxfBC3nz4CUnp_cNCwHaFa.jpg, horse, horse, pass
sheep_OIP-hRB9cugppNYZsN6GRySchwHaE8.jpg, sheep, sheep, pass
cat_ea36b30629f3013ed1584d05fb1d4e9fe777ead218ac104497f5c978a7e8b7bc_640.jpg, cat, cat, pass
