#image_name, actual, predicted, score
Rook_00000051.jpg, rook, king, fail
King_00000096.jpg, king, king, pass
Knight_00000037.jpg, knight, king, fail
Rook_00000019.jpg, rook, pawn, fail
Rook_00000142.jpg, rook, queen, fail
Knight_00000018.jpg, knight, king, fail
Rook_00000102.jpg, rook, king, fail
Pawn_00000028.jpg, pawn, king, fail
Rook_00000197.jpg, rook, king, fail
Bishop_00000194.jpg, bishop, king, fail
Pawn_00000134.jpg, pawn, king, fail
King_00000056.jpg, king, king, pass 
Pawn_00000177.jpg, pawn, king, fail
Pawn_00000161.jpg, pawn, bishop, fail
Bishop_00000017.jpg, bishop, king, fail
Knight_00000066.jpg, knight, queen, fail
King_00000194.jpg, king, king, pass
Bishop_00000167.jpg, bishop, rook, fail
Rook_00000120.jpg, rook, king, fail
Pawn_00000007.jpg, pawn, king, fail
Knight_00000086.jpg, knight, king, fail
Pawn_00000170.jpg, pawn, pawn, pass
Bishop_00000175.jpg, bishop, king, fail
Queen_00000018.jpg, queen, king, fail
Pawn_00000135.jpg, pawn, king, fail
King_00000126.jpg, king, king, pass 
Rook_00000022.jpg, rook, king, fail
Rook_00000016.jpg, rook, king, fail
Bishop_00000195.jpg, bishop, pawn, fail
Queen_00000043.jpg, queen, queen, pass
Pawn_00000175.jpg, pawn, pawn, pass
Pawn_00000011.jpg, pawn, pawn, pass
King_00000061.jpg, king, king, pass 
Queen_00000040.jpg, queen, king, fail
Rook_00000195.jpg, rook, queen, fail
Pawn_00000022.jpg, pawn, king, fail
Rook_00000127.jpg, rook, king, fail
Knight_00000013.jpg, knight, queen, fail
Knight_00000081.jpg, knight, pawn, fail
Queen_00000008.jpg, queen, pawn, fail
Bishop_00000186.jpg, bishop, king, fail
Knight_00000043.jpg, knight, king, fail
Pawn_00000019.jpg, pawn, pawn, pass
Knight_00000169.jpg, knight, pawn, fail
Knight_00000048.jpg, knight, pawn, fail
Pawn_00000112.jpg, pawn, king, fail
King_00000003.jpg, king, king, pass
Rook_00000059.jpg, rook, queen, fail
Knight_00000165.jpg, knight, rook, fail
Queen_00000109.jpg, queen, king, fail
Pawn_00000043.jpg, pawn, king, fail
Knight_00000032.jpg, knight, king, fail
Knight_00000055.jpg, knight, queen, fail
Rook_00000058.jpg, rook, pawn, fail
Rook_00000112.jpg, rook, bishop, fail
Bishop_00000081.jpg, bishop, king, fail
Pawn_00000016.jpg, pawn, queen, fail
King_00000088.jpg, king, king, pass
Queen_00000118.jpg, queen, pawn, fail
Pawn_00000183.jpg, pawn, king, fail
Rook_00000147.jpg, rook, queen, fail
Knight_00000039.jpg, knight, queen, fail
Rook_00000131.jpg, rook, pawn, fail
Rook_00000049.jpg, rook, rook, pass
Pawn_00000070.jpg, pawn, pawn, pass
Rook_00000004.jpg, rook, pawn, fail
Bishop_00000168.jpg, bishop, king, fail
Bishop_00000193.jpg, bishop, king, fail
Knight_00000071.jpg, knight, rook, fail
Knight_00000197.jpg, knight, rook, fail
Bishop_00000049.jpg, bishop, bishop, pass
Pawn_00000115.jpg, pawn, knight, fail
Bishop_00000034.jpg, bishop, pawn, fail
Queen_00000139.jpg, queen, king, fail
Bishop_00000008.jpg, bishop, king, fail
Pawn_00000013.jpg, pawn, queen, fail
Knight_00000049.jpg, knight, king, fail
Rook_00000027.jpg, rook, king, fail
Rook_00000011.jpg, rook, king, fail
Bishop_00000078.jpg, bishop, pawn, fail
Bishop_00000013.jpg, bishop, pawn, fail
Knight_00000134.jpg, knight, king, fail
King_00000054.jpg, king, queen, fail
Pawn_00000122.jpg, pawn, pawn, pass
Rook_00000125.jpg, rook, pawn, fail
King_00000173.jpg, king, rook, fail
Rook_00000132.jpg, rook, queen, fail
Queen_00000162.jpg, queen, pawn, fail
King_00000071.jpg, king, rook, fail
Queen_00000167.jpg, queen, pawn, fail
Bishop_00000094.jpg, bishop, king, fail
Rook_00000119.jpg, rook, pawn, fail
Pawn_00000031.jpg, pawn, pawn, pass
Rook_00000171.jpg, rook, pawn, fail
Rook_00000101.jpg, rook, king, fail
Knight_00000026.jpg, knight, pawn, fail
Queen_00000214.jpg, queen, king, fail
Bishop_00000145.jpg, bishop, pawn, fail
Pawn_00000059.jpg, pawn, king, fail
Rook_00000054.jpg, rook, king, fail
Queen_00000195.jpg, queen, pawn, fail
Bishop_00000182.jpg, bishop, pawn, fail
Knight_00000000.jpg, knight, pawn, fail
Bishop_00000189.jpg, bishop, queen, fail
Knight_00000079.jpg, knight, king, fail
Bishop_00000001.jpg, bishop, queen, fail
Rook_00000113.jpg, rook, king, fail
Bishop_00000042.jpg, bishop, pawn, fail
Bishop_00000199.jpg, bishop, pawn, fail
Rook_00000114.jpg, rook, pawn, fail
Rook_00000046.jpg, rook, rook, pass
Bishop_00000019.jpg, bishop, king, fail
King_00000036.jpg, king, queen, fail
Pawn_00000099.jpg, pawn, queen, fail
Queen_00000036.jpg, queen, king, fail
Pawn_00000113.jpg, pawn, rook, fail
Knight_00000123.jpg, knight, pawn, fail
Bishop_00000174.jpg, bishop, king, fail
Bishop_00000138.jpg, bishop, knight, fail
King_00000199.jpg, king, queen, fail
Bishop_00000062.jpg, bishop, pawn, fail
Rook_00000035.jpg, rook, king, fail
Pawn_00000067.jpg, pawn, pawn, pass
Bishop_00000177.jpg, bishop, king, fail
King_00000019.jpg, king, king, pass
Rook_00000099.jpg, rook, king, fail
Rook_00000032.jpg, rook, bishop, fail
Pawn_00000193.jpg, pawn, king, fail
Bishop_00000109.jpg, bishop, rook, fail
Rook_00000076.jpg, rook, pawn, fail
Pawn_00000085.jpg, pawn, king, fail
Rook_00000015.jpg, rook, pawn, fail
Knight_00000002.jpg, knight, king, fail
King_00000108.jpg, king, king, pass
Rook_00000024.jpg, rook, king, fail
King_00000167.jpg, king, pawn, fail
Pawn_00000039.jpg, pawn, queen, fail
Knight_00000122.jpg, knight, pawn, fail
Bishop_00000024.jpg, bishop, king, fail
King_00000102.jpg, king, pawn, fail
Knight_00000047.jpg, knight, king, fail
Queen_00000116.jpg, queen, king, fail
King_00000094.jpg, king, pawn, fail
Bishop_00000149.jpg, bishop, king, fail
Knight_00000075.jpg, knight, pawn, fail
Rook_00000083.jpg, rook, king, fail
Pawn_00000026.jpg, pawn, knight, fail
Rook_00000031.jpg, rook, king, fail
Knight_00000099.jpg, knight, pawn, fail
Bishop_00000112.jpg, bishop, queen, fail
Pawn_00000176.jpg, pawn, knight, fail
King_00000172.jpg, king, king, pass
Pawn_00000074.jpg, pawn, queen, fail
Bishop_00000126.jpg, bishop, king, fail
Queen_00000028.jpg, queen, king, fail
Pawn_00000005.jpg, pawn, king, fail
Rook_00000082.jpg, rook, rook, pass
Queen_00000066.jpg, queen, pawn, fail
Bishop_00000114.jpg, bishop, king, fail
Rook_00000136.jpg, rook, queen, fail
Rook_00000018.jpg, rook, pawn, fail
Rook_00000135.jpg, rook, king, fail
Queen_00000005.jpg, queen, pawn, fail
Queen_00000088.jpg, queen, bishop, fail
Pawn_00000117.jpg, pawn, pawn, pass
Rook_00000008.jpg, rook, bishop, fail
Queen_00000086.jpg, queen, king, fail
Knight_00000113.jpg, knight, knight, pass
Bishop_00000006.jpg, bishop, queen, fail
Knight_00000177.jpg, knight, king, fail
Knight_00000095.jpg, knight, pawn, fail
Bishop_00000075.jpg, bishop, king, fail
King_00000142.jpg, king, queen, fail
Knight_00000028.jpg, knight, king, fail
Knight_00000009.jpg, knight, king, fail
Knight_00000023.jpg, knight, pawn, fail
Pawn_00000133.jpg, pawn, rook, fail
Queen_00000127.jpg, queen, pawn, fail
Pawn_00000057.jpg, pawn, rook, fail
Rook_00000107.jpg, rook, pawn, fail
Bishop_00000089.jpg, bishop, queen, fail
Bishop_00000079.jpg, bishop, pawn, fail
Rook_00000050.jpg, rook, pawn, fail
Knight_00000001.jpg, knight, pawn, fail
Knight_00000141.jpg, knight, king, fail
Knight_00000146.jpg, knight, queen, fail
Knight_00000118.jpg, knight, pawn, fail
Bishop_00000007.jpg, bishop, pawn, fail
Queen_00000072.jpg, queen, king, fail
Pawn_00000041.jpg, pawn, king, fail
Pawn_00000048.jpg, pawn, rook, fail
King_00000127.jpg, king, king, pass
Rook_00000014.jpg, rook, pawn, fail
Queen_00000015.jpg, queen, king, fail
Pawn_00000196.jpg, pawn, king, fail
Knight_00000038.jpg, knight, knight, pass
Bishop_00000070.jpg, bishop, king, fail
King_00000000.jpg, king, rook, fail
Pawn_00000035.jpg, pawn, rook, fail
Pawn_00000114.jpg, pawn, king, fail
Knight_00000114.jpg, knight, king, fail
King_00000144.jpg, king, knight, fail
Knight_00000145.jpg, knight, queen, fail
King_00000175.jpg, king, king, pass
King_00000045.jpg, king, queen, fail
Rook_00000028.jpg, rook, pawn, fail
Knight_00000059.jpg, knight, king, fail
Knight_00000173.jpg, knight, queen,  fail
Queen_00000044.jpg, queen, rook, fail
Rook_00000033.jpg, rook, queen, fail
Bishop_00000158.jpg, bishop, king, fail
King_00000124.jpg, king, king, pass
King_00000007.jpg, king, king, pass
King_00000030.jpg, king, pawn, fail
Rook_00000097.jpg, rook, pawn, fail
King_00000022.jpg, king, queen, fail
Queen_00000062.jpg, queen, king, fail
Knight_00000050.jpg, knight, pawn, fail
Knight_00000101.jpg, knight, pawn, fail
Queen_00000182.jpg, queen, pawn, fail
Knight_00000074.jpg, knight, rook, fail
Pawn_00000174.jpg, pawn, pawn, pass
Rook_00000075.jpg, rook, knight, fail
King_00000069.jpg, king, king, pass
Queen_00000012.jpg, queen, king, fail
Queen_00000151.jpg, queen, rook, fail
King_00000121.jpg, king, king, pass
Pawn_00000141.jpg, pawn, king, fail
Queen_00000087.jpg, queen, pawn, fail
Pawn_00000017.jpg, pawn, king, fail
Knight_00000065.jpg, knight, king, fail
King_00000065.jpg, king, pawn, fail
Queen_00000143.jpg, queen, pawn, fail
Bishop_00000092.jpg, bishop, bishop, pass
Queen_00000081.jpg, queen, king, fail
Rook_00000165.jpg, rook, bishop, fail
Knight_00000181.jpg, knight, pawn, fail
Bishop_00000011.jpg, bishop, king, fail
Bishop_00000082.jpg, bishop, king, fail
Knight_00000192.jpg, knight, king, fail
Queen_00000279.jpg, queen, king, fail
Pawn_00000110.jpg, pawn, pawn, pass
Pawn_00000004.jpg, pawn, rook, fail
Rook_00000145.jpg, rook, king, fail
King_00000062.jpg, king, knight, fail
Knight_00000092.jpg, knight, king, fail
Knight_00000100.jpg, knight, queen, fail
Queen_00000021.jpg, queen, king, fail
Rook_00000034.jpg, rook, bishop, fail
Queen_00000014.jpg, queen, king, fail
Bishop_00000110.jpg, bishop, king, fail
Rook_00000086.jpg, rook, king, fail
King_00000060.jpg, king, queen, fail
Pawn_00000138.jpg, pawn, rook, fail
Bishop_00000031.jpg, bishop, rook, fail
Pawn_00000199.jpg, pawn, pawn, pass
Bishop_00000026.jpg, bishop, pawn, fail
Pawn_00000055.jpg, pawn, king, fail
Knight_00000017.jpg, knight, queen, fail
Knight_00000012.jpg, knight, queen, fail
Rook_00000044.jpg, rook, queen, fail
Rook_00000017.jpg, rook, king, fail
King_00000192.jpg, king, pawn, fail
Knight_00000089.jpg, knight, king, fail
Pawn_00000192.jpg, pawn, bishop, fail
Knight_00000187.jpg, knight, king, fail
Bishop_00000016.jpg, bishop, king, fail
Rook_00000077.jpg, rook, pawn, fail
Rook_00000063.jpg, rook, king, fail
Rook_00000117.jpg, rook, king, fail
Pawn_00000140.jpg, pawn, king, fail
Knight_00000155.jpg, knight, rook, fail
Knight_00000128.jpg, knight, king, fail
King_00000084.jpg, king, king, pass
Bishop_00000117.jpg, bishop, rook, fail
Queen_00000010.jpg, queen, king, fail
King_00000087.jpg, king, king, pass
Bishop_00000028.jpg, bishop, king, fail
Pawn_00000060.jpg, pawn, pawn, pass
Knight_00000088.jpg, knight, queen, fail
Bishop_00000192.jpg, bishop, pawn,  fail
Pawn_00000073.jpg, pawn, pawn, pass
Queen_00000232.jpg, queen, king, fail
Pawn_00000032.jpg, pawn, pawn, pass
Knight_00000021.jpg, knight, queen, fail
Pawn_00000079.jpg, pawn, pawn, pass
Bishop_00000127.jpg, bishop, pawn, fail
Queen_00000098.jpg, queen, king, fail
Knight_00000068.jpg, knight, king, fail
Pawn_00000157.jpg, pawn, pawn, pass
Pawn_00000152.jpg, pawn, rook, fail
King_00000075.jpg, king, king, pass
Pawn_00000058.jpg, pawn, pawn, pass
Knight_00000060.jpg, knight, rook, fail
Knight_00000094.jpg, knight, pawn, fail
Queen_00000007.jpg, queen, king, fail
Queen_00000064.jpg, queen, pawn, fail
Knight_00000098.jpg, knight, pawn, fail
Bishop_00000129.jpg, bishop, pawn, fail
Knight_00000064.jpg, knight, pawn, fail
Knight_00000008.jpg, knight, king, fail
Queen_00000017.jpg, queen, rook, fail
Bishop_00000121.jpg, bishop, pawn, fail
Rook_00000168.jpg, rook, pawn, fail
Pawn_00000197.jpg, pawn, rook, fail
Queen_00000074.jpg, queen, king, fail
King_00000043.jpg, king, pawn, fail
Pawn_00000116.jpg, pawn, rook, fail
Pawn_00000002.jpg, pawn, pawn, pass
Bishop_00000018.jpg, bishop, knight, fail
Knight_00000024.jpg, knight, bishop, fail
Bishop_00000102.jpg, bishop, bishop, pass
Queen_00000023.jpg, queen, queen, pass
Knight_00000019.jpg, knight, king, fail
Queen_00000204.jpg, queen, king, fail
Knight_00000125.jpg, knight, king, fail
Queen_00000173.jpg, queen, pawn, fail
Queen_00000219.jpg, queen, king, fail
Queen_00000131.jpg, queen, king, fail
Rook_00000118.jpg, rook, king, fail
Knight_00000078.jpg, knight, king, fail
Rook_00000073.jpg, rook, bishop, fail
Pawn_00000166.jpg, pawn, king, fail
King_00000015.jpg, king, pawn, fail
King_00000106.jpg, king, pawn, fail
Knight_00000067.jpg, knight, king, fail
King_00000031.jpg, king, king, pass
Bishop_00000010.jpg, bishop, queen, fail
Queen_00000077.jpg, queen, queen, pass
Queen_00000026.jpg, queen, king, fail
Pawn_00000071.jpg, pawn, pawn, pass
Pawn_00000182.jpg, pawn, king, fail
Queen_00000006.jpg, queen, king, fail
Rook_00000020.jpg, rook, king, fail
Rook_00000184.jpg, rook, queen, fail
Knight_00000006.jpg, knight, pawn, fail
Knight_00000022.jpg, knight, knight, pass
Pawn_00000020.jpg, pawn, king, fail
Pawn_00000029.jpg, pawn, king, fail
Rook_00000163.jpg, rook, knight, fail
Queen_00000119.jpg, queen, king, fail
Rook_00000045.jpg, rook, king, fail
Knight_00000137.jpg, knight, rook, fail
Rook_00000189.jpg, rook, pawn, fail
Pawn_00000139.jpg, pawn, king, fail
Bishop_00000061.jpg, bishop, bishop, pass
Knight_00000179.jpg, knight, queen, fail
Bishop_00000066.jpg, bishop, king, fail
Rook_00000021.jpg, rook, bishop, fail
Pawn_00000169.jpg, pawn, king, fail
Pawn_00000078.jpg, pawn, rook, fail
Pawn_00000178.jpg, pawn, pawn, pass
Pawn_00000069.jpg, pawn, pawn, pass
Knight_00000029.jpg, knight, pawn, fail
Rook_00000116.jpg, rook, king, fail
Rook_00000121.jpg, rook, pawn, fail
Rook_00000005.jpg, rook, queen, fail
Pawn_00000072.jpg, pawn, queen, fail
Knight_00000154.jpg, knight, pawn, fail
